ID,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1313,Happy,Happy,Happy,Happy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1314,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy
1316,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1317,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Neutral,Neutral,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1318,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Somewhat happy,Happy,Happy,Happy,Happy,Happy,Happy,Somewhat happy,Happy
1319,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1320,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy
1321,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral
1322,Neutral,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy
1323,Neutral,Neutral,Neutral,Somewhat happy,Neutral,Neutral,Neutral,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat unhappy
1325,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1326,Neutral,Neutral,Neutral,Somewhat unhappy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1327,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1328,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1329,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
