id,Family_Cluster,Happiness_Cluster,CombT,CombT_Merged
1245,1,1,1+1,1+1
1246,1,3,1+3,1+3
1247,3,4,3+4,3+4
1248,1,1,1+1,1+1
1249,3,2,3+2,3+2
1250,3,1,3+1,3+1
1251,2,2,2+2,2+2
1252,4,5,4+5,4+5
1253,4,2,4+2,4+2
1254,4,1,4+1,4+1
1255,2,3,2+3,2+3
1256,1,3,1+3,1+3
1257,1,4,1+4,1+4
1258,3,2,3+2,3+2
1259,2,2,2+2,2+2
1260,2,3,2+3,2+3
1261,1,1,1+1,1+1
1262,2,3,2+3,2+3
1263,1,1,1+1,1+1
1264,1,1,1+1,1+1
1265,1,4,1+4,1+4
1266,1,2,1+2,1+2
1267,4,1,4+1,4+1
1268,1,1,1+1,1+1
1269,3,1,3+1,3+1
1270,3,1,3+1,3+1
1271,4,3,4+3,4+3
1272,3,1,3+1,3+1
1273,4,1,4+1,4+1
1274,4,2,4+2,4+2
1275,1,3,1+3,1+3
1276,2,1,2+1,2+1
1277,4,3,4+3,4+3
1278,1,5,1+5,1+5
1279,3,1,3+1,3+1
1280,2,1,2+1,2+1
1281,1,4,1+4,1+4
1282,1,4,1+4,1+4
1283,3,1,3+1,3+1
1284,1,4,1+4,1+4
1285,4,1,4+1,4+1
1286,3,1,3+1,3+1
1287,2,2,2+2,2+2
1288,3,2,3+2,3+2
1289,4,3,4+3,4+3
1290,3,1,3+1,3+1
1291,1,3,1+3,1+3
1292,1,4,1+4,1+4
1293,3,3,3+3,3+3
1294,4,3,4+3,4+3
1295,1,3,1+3,1+3
1296,1,1,1+1,1+1
1297,1,1,1+1,1+1
1298,4,2,4+2,4+2
1299,3,3,3+3,3+3
1300,3,1,3+1,3+1
1301,4,2,4+2,4+2
1302,4,5,4+5,4+5
1303,1,4,1+4,1+4
1304,3,2,3+2,3+2
1305,4,2,4+2,4+2
1306,2,1,2+1,2+1
1307,3,3,3+3,3+3
1308,4,1,4+1,4+1
1309,4,2,4+2,4+2
1310,4,1,4+1,4+1
1311,4,1,4+1,4+1
1312,3,5,3+5,3+5
1313,1,1,1+1,1+1
1314,4,2,4+2,4+2
1315,2,2,2+2,2+2
1316,4,2,4+2,4+2
1317,3,2,3+2,3+2
1318,1,3,1+3,1+3
1319,4,2,4+2,4+2
1320,1,4,1+4,1+4
1321,3,1,3+1,3+1
1322,1,3,1+3,1+3
1323,2,2,2+2,2+2
1324,1,4,1+4,1+4
1325,3,1,3+1,3+1
1326,4,2,4+2,4+2
1327,4,2,4+2,4+2
1328,4,2,4+2,4+2
1329,1,3,1+3,1+3
1330,2,2,2+2,2+2
1331,1,1,1+1,1+1
1332,4,4,4+4,4+4
1333,1,1,1+1,1+1
1334,1,3,1+3,1+3
1335,2,5,2+5,2+5
1336,2,3,2+3,2+3
1337,3,1,3+1,3+1
1338,3,2,3+2,3+2
1339,1,3,1+3,1+3
1340,3,1,3+1,3+1
1341,4,1,4+1,4+1
1342,4,3,4+3,4+3
1343,1,2,1+2,1+2
1344,2,2,2+2,2+2
1345,3,2,3+2,3+2
1346,1,4,1+4,1+4
