id,Family_Cluster,Happiness_Cluster,CombT,CombT_Merged
496,2,1,2+1,2+1
497,4,1,4+1,4+1
498,3,3,3+3,3+3
499,4,3,4+3,4+3
500,2,5,2+5,2+5
501,1,1,1+1,1+1
502,1,5,1+5,1+5
503,1,1,1+1,1+1
504,3,1,3+1,3+1
505,2,3,2+3,2+3
506,1,4,1+4,1+4
507,1,1,1+1,1+1
508,1,5,1+5,1+5
509,1,5,1+5,1+5
510,1,1,1+1,1+1
511,3,1,3+1,3+1
512,1,5,1+5,1+5
513,2,3,2+3,2+3
514,1,4,1+4,1+4
515,4,2,4+2,4+2
516,1,5,1+5,1+5
517,1,1,1+1,1+1
518,1,5,1+5,1+5
519,2,1,2+1,2+1
520,3,1,3+1,3+1
521,4,1,4+1,4+1
522,3,1,3+1,3+1
523,4,4,4+4,4+4
524,1,5,1+5,1+5
525,1,1,1+1,1+1
526,4,1,4+1,4+1
527,3,2,3+2,3+2
528,4,3,4+3,4+3
529,2,1,2+1,2+1
530,1,1,1+1,1+1
531,3,2,3+2,3+2
532,4,3,4+3,4+3
533,1,1,1+1,1+1
534,2,5,2+5,2+5
535,3,1,3+1,3+1
536,3,3,3+3,3+3
537,1,1,1+1,1+1
538,1,4,1+4,1+4
539,3,1,3+1,3+1
540,1,5,1+5,1+5
541,4,2,4+2,4+2
542,3,2,3+2,3+2
543,3,2,3+2,3+2
544,1,1,1+1,1+1
545,1,4,1+4,1+4
546,3,3,3+3,3+3
547,1,2,1+2,1+2
548,2,4,2+4,2+4
549,4,3,4+3,4+3
550,1,1,1+1,1+1
551,3,2,3+2,3+2
552,4,5,4+5,4+5
553,3,3,3+3,3+3
554,4,2,4+2,4+2
555,1,4,1+4,1+4
556,3,1,3+1,3+1
557,4,3,4+3,4+3
558,4,2,4+2,4+2
559,2,1,2+1,2+1
560,4,2,4+2,4+2
561,1,1,1+1,1+1
562,4,3,4+3,4+3
563,2,3,2+3,2+3
564,2,2,2+2,2+2
565,2,2,2+2,2+2
566,2,1,2+1,2+1
567,4,3,4+3,4+3
568,4,2,4+2,4+2
569,1,4,1+4,1+4
570,4,3,4+3,4+3
571,4,3,4+3,4+3
572,4,2,4+2,4+2
573,3,2,3+2,3+2
574,1,3,1+3,1+3
575,3,3,3+3,3+3
576,1,3,1+3,1+3
577,4,2,4+2,4+2
578,1,1,1+1,1+1
579,4,1,4+1,4+1
580,3,3,3+3,3+3
581,4,1,4+1,4+1
582,3,2,3+2,3+2
583,4,4,4+4,4+4
584,4,2,4+2,4+2
585,1,1,1+1,1+1
586,4,2,4+2,4+2
587,3,2,3+2,3+2
588,1,5,1+5,1+5
