CombT,Frequency,Proportion (%)
1+1,227,14.76
4+2,163,10.6
4+3,150,9.75
3+2,135,8.78
4+1,117,7.61
3+3,108,7.02
3+1,102,6.63
1+3,79,5.14
2+1,73,4.75
1+2,68,4.42
2+3,65,4.23
1+5,60,3.9
2+2,55,3.58
1+4,54,3.51
4+5,19,1.24
4+4,17,1.11
2+5,14,0.91
3+5,12,0.78
3+4,11,0.72
2+4,9,0.59
