ID,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
263,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner
264,Single,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
265,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
266,Single,Single,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
267,Single,Single,Single,Single,Single,Single,Single,Romantic Partner,Single,Single,Single,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Single,Single,Married
269,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner
273,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single
275,Single,Single,Romantic Partner,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Single,Single,Single,Single,Single,Single,Single
276,Single,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married
277,Single,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Single,Single,Single,Married,Married,Married,Married,Married,Married,Married
278,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Romantic Partner,Married,Married,Married,Married,Married,Married
279,Single,Romantic Partner,Romantic Partner,Romantic Partner,Single,Romantic Partner,Single,Romantic Partner,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married
280,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
281,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Single,Romantic Partner,Married,Married,Married,Married,Married
